"Year","Player","Age","Position","School","Height","Weight","BMI","SpeedScore","FortyDash","Vertical","Bench","BroadJump","ThreeCone","Shuttle"
"2000","Shaun Alexander","22.52","RB","Alabama","72","218","29.56","99.09","4.58","","","","",""
"2000","Kyle Allamon","","TE","Texas Tech","74","253","32.48","80.33","4.97","29","","104","7.29","4.49"
"2000","Anthony Becht","22.58","TE","West Virginia","78","270","31.2","105.6","4.78","33.5","","123","6.94","4.08"
"2000","Tom Brady","22.59","QB","Michigan","76","211","25.68","54.3","5.28","24.5","","99","7.2","4.38"
"2000","Travis Brown","22.64","QB","Northern Arizona","75","218","27.25","69.2","5.01","29","","101","7.54","4.87"
"2000","Keith Brown","","RB","UCLA","71","216","30.12","91.61","4.66","30","","117","6.64","4.08"
"2000","Demario Brown","","RB","Utah State","72","217","29.43","87.44","4.72","31","","107","7.17","4.39"
"2000","Marc Bulger","22.92","QB","West Virginia","74","208","26.7","68.18","4.97","","","100","7.46","4.34"
"2000","Bill Burke","","QB","Michigan State","76","206","25.07","64.36","5.03","28.5","","107","7.46","4.42"
"2000","Plaxico Burress","22.57","WR","Michigan State","77","231","27.39","109.79","4.59","33","","115","",""
"2000","Trung Canidate","23.01","RB","Arizona","71","193","26.92","102.05","4.41","","18","","",""
"2000","Giovanni Carmazzi","","QB","Hofstra","75","224","28","88.75","4.74","36.5","","119","6.94","4.23"
"2000","Kwame Cavil","20.84","WR","Texas","74","208","26.7","99.26","4.54","39.5","","118","",""
"2000","Chris Chaloupka","","QB","SMU","74","216","27.73","71.38","4.96","","","","",""
"2000","Doug Chapman","22.54","RB","Marshall","70","215","30.85","99.45","4.56","38.5","16","128","6.84","4.2"
"2000","Chrys Chukwuma","","RB","Arkansas","73","232","30.61","107.31","4.56","","","115","",""
"2000","Chris Cole","22.32","WR","Texas A&M","72","191","25.9","103.31","4.37","37.5","","125","6.76","4.09"
"2000","Chris Coleman","22.83","WR","North Carolina State","72","211","28.61","92.15","4.61","32.5","","110","6.79","4.1"
"2000","Laveranues Coles","22.19","WR","Florida State","71","192","26.78","98.74","4.41","34","","115","6.89","4.39"
"2000","Casey Crawford","22.6","TE","Virginia","78","244","28.19","91.54","4.83","","18","","",""
"2000","Chris Daniels","","WR","Purdue","75","217","27.12","88.33","4.74","33","","115","7.2","4.24"
"2000","Brandon Daniels","","WR","Oklahoma","70","211","30.27","95.25","4.54","","","","",""
"2000","Joe Dean Davenport","","TE","Arkansas","79","268","30.19","84.55","5.06","30","13","108","7.33","4.67"
"2000","Darren Davis","","RB","Iowa State","68","189","28.73","70.62","4.81","32","13","109","7.04","4.47"
"2000","JaJuan Dawson","22.33","WR","Tulane","73","199","26.25","92.86","4.55","34","","117","6.96","4.16"
"2000","Ron Dayne","21.98","RB","Wisconsin","71","259","36.12","110.79","4.65","","","","",""
"2000","Reuben Droughns","21.54","RB","Oregon","71","215","29.98","91.19","4.66","30","13","115","7.34","4.41"
"2000","Ron Dugans","22.86","WR","Florida State","73","206","27.18","93.63","4.58","","","117","",""
"2000","Deon Dyer","22.43","RB","North Carolina","71","260","36.26","83.87","4.99","28","","104","7.88","4.81"
"2000","Matt Farmer","","WR","Air Force","72","190","25.77","90.59","4.51","33","","108","6.63","3.94"
"2000","Danny Farmer","22.79","WR","UCLA","75","217","27.12","101.34","4.58","","","","",""
"2000","Kevin Feterik","","QB","BYU","71","207","28.87","70.65","4.92","31","","106","7.3","4.45"
"2000","Chafie Fields","","WR","Penn State","73","196","25.86","101.78","4.43","","","","",""
"2000","Zeron Flemister","23.49","TE","Iowa","76","249","30.31","99.81","4.72","37","14","116","6.92","4.16"
"2000","Larry Foster","23.33","WR","LSU","70","198","28.41","88.6","4.55","37","","121","6.88","4.06"
"2000","Derrick Foster","","RB","Texas A&M-Kingsville","71","201","28.03","104.38","4.43","34.5","19","117","6.84","4.36"
"2000","Bubba Franks","22.16","TE","Miami (FL)","78","265","30.62","97.79","4.85","","","","",""
"2000","Mondriel Fulcher","23.39","RB","Miami (FL)","75","253","31.62","91.45","4.85","27","18","116","7.46","4.52"
"2000","Jason Gavadza","","TE","Kent State","75","249","31.12","107.31","4.62","32.5","22","113","7.15","4.3"
"2000","Trevor Gaylor","22.34","WR","Miami (OH)","75","199","24.87","94.57","4.56","37.5","","121","7.03","4.29"
"2000","Sherrod Gideon","","WR","Southern Miss","71","173","24.13","71.36","4.66","","","","",""
"2000","Mike Green","","RB","Houston","72","253","34.31","96.93","4.78","28.5","25","108","7.08","4.34"
"2000","Ricky Hall","","WR","Virginia Tech","74","206","26.45","100.06","4.52","","","","",""
"2000","Dante' Hall","","RB","Texas A&M","68","191","29.04","98.3","4.44","38","18","123","6.62","3.82"
"2000","Troy Hambrick","23.33","RB","South Carolina","72","237","32.14","100.52","4.66","34.5","21","118","7.48","4.44"
"2000","Joe Hamilton","22.98","QB","Georgia Tech","70","192","27.55","71.74","4.81","","","106","",""
"2000","Joey Hamilton","","WR","Jacksonville State","73","201","26.52","94.62","4.54","36","","116","7.57","4.41"
"2000","Thomas Hamner","","RB","Minnesota","72","197","26.72","96.08","4.5","32","17","125","6.97","4.07"
"2000","D'Andre Hardeman","","RB","Texas A&M","70","238","34.15","88.93","4.81","30","","109","7.27","4.36"
"2000","Windrell Hayes","23.23","WR","USC","71","204","28.45","96.77","4.5","","","","7.33","4.18"
"2000","Leroy Hodge","","WR","Texas A&M","73","215","28.36","101.22","4.54","34.5","","116","7.14","4.21"
"2000","Todd Husak","21.67","QB","Stanford","75","216","27","59.08","5.2","27.5","","99","7.17","4.41"
"2000","Trevor Insley","22.2","WR","Nevada","72","192","26.04","77.62","4.7","","","","",""
"2000","Marlion Jackson","22.4","RB","Saginaw Valley State","73","242","31.92","108.1","4.6","35.5","24","125","7.15","4.14"
"2000","Jarious Jackson","22.84","QB","Notre Dame","72","226","30.65","94.22","4.68","","","109","",""
"2000","Darrell Jackson","21.25","WR","Florida","72","197","26.72","89.88","4.56","","","","",""
"2000","Ronney Jenkins","22.78","RB","Northern Arizona","70","184","26.4","89.74","4.5","","18","118","",""
"2000","Doug Johnson","22.36","QB","Florida","74","226","29.01","75.29","4.95","29.5","","96","",""
"2000","Thomas Jones","21.55","RB","Virginia","70","216","30.99","110.17","4.45","","","","",""
"2000","John Jones","24.93","TE","Pittsburgh","76","248","30.18","107.37","4.63","38.5","13","125","7.33","4.43"
"2000","Dwaune Jones","","WR","Richmond","72","191","25.9","79.9","4.66","","","","",""
"2000","Morgan Kane","","RB","Wake Forest","73","221","29.15","97.02","4.62","37.5","29","121","6.81","4.16"
"2000","Curtis Keaton","23.38","RB","West Virginia","70","214","30.7","113.16","4.41","41.5","23","131","6.82","3.93"
"2000","Matt Keller","","RB","Ohio State","71","235","32.77","93.11","4.74","","","","",""
"2000","Dan Kendra","","RB","Florida State","72","251","34.04","91.48","4.84","35","24","119","",""
"2000","Erron Kinney","22.61","TE","Florida","78","272","31.43","96.34","4.9","","","","",""
"2000","Marcus Knight","21.72","WR","Michigan","73","180","23.75","72.53","4.72","28.5","","106","7.11","4.38"
"2000","Charles Lee","22.3","WR","Central Florida","73","202","26.65","93.44","4.56","35.5","","125","7.3","4.25"
"2000","Tim Lester","","QB","West. Michigan","72","202","27.39","63.62","5.02","27","","97","7.28","4.24"
"2000","Jamal Lewis","20.52","RB","Tennessee","72","240","32.55","109.09","4.58","","23","","",""
"2000","Anthony Lucas","","WR","Arkansas","75","194","24.25","94.66","4.53","35","","121","",""
"2000","Alton Lusk","","WR","Central Oklahoma","74","182","23.36","81.7","4.61","36.5","","122","7.16","4.26"
"2000","Tee Martin","21.62","QB","Tennessee","74","227","29.14","103.18","4.58","34.5","","113","",""
"2000","Terrence McCaskey","","TE","Mississippi State","77","271","32.13","87.4","5","29","","101","",""
"2000","Kevin McDougal","22.8","RB","Colorado State","71","206","28.73","89.65","4.63","32","","108","7.08","4.12"
"2000","Rondell Mealey","23.03","RB","LSU","72","212","28.75","87.63","4.69","33","","120","6.89","4.15"
"2000","Wendell Montgomery","","WR","Wyoming","75","203","25.37","77.93","4.81","35.5","","117","7.01","4.24"
"2000","Scottie Montgomery","21.78","WR","Duke","72","196","26.58","88.64","4.57","36","","117","7.16","4.11"
"2000","Muneer Moore","","WR","Richmond","73","201","26.52","96.31","4.52","37.5","","129","6.91","4.09"
"2000","Frank Moreau","23.49","RB","Louisville","73","231","30.47","105.92","4.57","36","23","117","",""
"2000","Sylvester Morris","22.42","WR","Jackson State","75","216","27","99.13","4.6","34.5","","119","7.06","4.17"
"2000","Sammy Morris","22.96","RB","Texas Tech","72","221","29.97","94.54","4.65","37.5","23","117","7.05","4.21"
"2000","Chad Morton","22.92","RB","USC","68","182","27.67","88.77","4.5","36","18","121","",""
"2000","Leon Murray","","QB","Tennessee State","74","207","26.57","81.33","4.75","","","","",""
"2000","Dennis Northcutt","22.21","WR","Arizona","70","175","25.11","87.14","4.43","37.5","","123","6.96","4.04"
"2000","Carlos Nuno","","TE","BYU","76","263","32.01","81.74","5.03","28","23","106","",""
"2000","Chad Pennington","23.7","QB","Marshall","75","229","28.62","85.56","4.81","33.5","","111","7.12","4.16"
"2000","Cory Peterson","","WR","Mississippi","74","195","25.03","77.66","4.75","32.5","","114","",""
"2000","Mareno Philyaw","22.21","WR","Troy","74","205","26.32","88.14","4.66","39.5","","129","6.93","4.13"
"2000","Todd Pinkston","22.87","WR","Southern Miss","74","169","21.7","87.37","4.45","","","","",""
"2000","Jerry Porter","21.65","WR","West Virginia","74","221","28.37","111.23","4.48","","","","",""
"2000","Travis Prentice","23.24","RB","Miami (OH)","72","225","30.51","109.74","4.5","37","23","115","6.92","4.4"
"2000","Tim Rattay","22.98","QB","Louisiana Tech","72","215","29.16","73.98","4.91","25.5","","100","7.34","4.21"
"2000","Chris Redman","22.67","QB","Louisville","75","222","27.75","53.39","5.37","26.5","","98","7.8","4.78"
"2000","J.R. Redmond","22.44","RB","Arizona State","71","216","30.12","107.24","4.48","32.5","","121","",""
"2000","Phillip Rogers","","RB","Georgia Tech","73","232","30.61","96.72","4.68","37","19","124","7.21","4.31"
"2000","Ketric Sanford","","RB","Houston","67","199","31.16","88.89","4.6","32","12","118","6.63","4.3"
"2000","Gari Scott","21.76","WR","Michigan State","72","194","26.31","86.22","4.59","33.5","","119","",""
