name,position,team,value
"Lamar Jackson",QB,BAL,909.8434
"Patrick Mahomes",QB,KCC,864.3523
"Christian McCaffrey",RB,CAR,823.3473
"Alvin Kamara",RB,NOS,788.0448
"Ezekiel Elliott",RB,DAL,779.1166
"Kyler Murray",QB,ARI,764.1319
"Dak Prescott",QB,DAL,739.4361
"Deshaun Watson",QB,HOU,737.0381
"Russell Wilson",QB,SEA,707.6434
"Clyde Edwards-Helaire",RB,KCC,702.3104
2020.1.01,0,0,700
"Davante Adams",WR,GBP,675.1761
"Michael Thomas",WR,NOS,644.9798
"Jonathan Taylor",RB,IND,641.9725
"Dalvin Cook",RB,MIN,639.9176
"Josh Jacobs",RB,LVR,639.8812
"DeAndre Hopkins",WR,ARI,633.4387
2020.1.02,0,0,625.2055
"Saquon Barkley",RB,NYG,623.8929
"Tyreek Hill",WR,KCC,623.4323
"Chris Godwin",WR,TBB,585.7628
"Joe Burrow",QB,CIN,579.3759
"Miles Sanders",RB,PHI,573.5635
2020.1.03,0,0,558.4027
"Josh Allen",QB,BUF,555.0641
"Nick Chubb",RB,CLE,530.5758
"George Kittle",TE,SFO,501.3075
2020.1.04,0,0,498.7377
"Joe Mixon",RB,CIN,496.4628
"Aaron Jones",RB,GBP,492.9181
"Derrick Henry",RB,TEN,469.7666
"Travis Kelce",TE,KCC,462.5944
"Amari Cooper",WR,DAL,461.1028
"JuJu Smith-Schuster",WR,PIT,458.8082
"DJ Moore",WR,CAR,453.8079
2020.1.05,0,0,445.4479
"Mike Evans",WR,TBB,445.07
"AJ Brown",WR,TEN,432.4934
"Calvin Ridley",WR,ATL,432.0399
"JK Dobbins",RB,BAL,426.957
"Kenny Golladay",WR,DET,425.9866
"DK Metcalf",WR,SEA,404.7425
"Carson Wentz",QB,PHI,400.1023
2020.1.06,0,0,397.8521
"Aaron Rodgers",QB,GBP,391.8327
"Allen Robinson",WR,CHI,388.5848
"Julio Jones",WR,ATL,384.1653
"Matt Ryan",QB,ATL,378.3039
"Austin Ekeler",RB,LAC,372.5423
"Mark Andrews",TE,BAL,363.1932
"D'Andre Swift",RB,DET,362.8409
"CeeDee Lamb",WR,DAL,355.9973
"Tua Tagovailoa",QB,MIA,350.8847
"Odell Beckham",WR,CLE,347.6446
"Jared Goff",QB,LAR,346.2476
"Cam Newton",QB,NEP,333.816
"Terry McLaurin",WR,WAS,330.6633
"Justin Herbert",QB,LAC,316.6029
"Stefon Diggs",WR,BUF,312.4525
"Daniel Jones",QB,NYG,300.7181
2020.1.07,0,0,300.2478
"Matthew Stafford",QB,DET,297.4726
"Cooper Kupp",WR,LAR,295.1732
"Baker Mayfield",QB,CLE,287.6666
2020.1.08,0,0,275.7813
"Jerry Jeudy",WR,DEN,275.0766
"Cam Akers",RB,LAR,272.106
"Kareem Hunt",RB,CLE,262.3377
"Keenan Allen",WR,LAC,260.298
"Kenyan Drake",RB,ARI,258.1702
"DJ Chark",WR,JAC,258.0032
2021.1,0,0,253.3085
2020.1.09,0,0,253.3085
"Chris Carson",RB,SEA,251.4577
"Ryan Tannehill",QB,TEN,243.9157
"Tyler Lockett",WR,SEA,243.0493
"Tyler Boyd",WR,CIN,238.5798
"Darren Waller",TE,LVR,237.5843
2020.1.10,0,0,232.667
"Courtland Sutton",WR,DEN,230.2231
"Antonio Gibson",RB,WAS,229.8233
"Adam Thielen",WR,MIN,227.4455
"Robert Woods",WR,LAR,226.913
"Melvin Gordon",RB,DEN,226.4701
"Gardner Minshew",QB,JAC,226.3865
"Drew Lock",QB,DEN,225.4692
"David Montgomery",RB,CHI,225.4491
"Todd Gurley",RB,ATL,217.1544
"Kirk Cousins",QB,MIN,216.2544
"James Conner",RB,PIT,214.392
2020.1.11,0,0,213.7075
2022.1,0,0,213.7075
"Jimmy Garoppolo",QB,SFO,213.2157
"Marquise Brown",WR,BAL,209.7829
"Zach Ertz",TE,PHI,209.6013
"Leonard Fournette",RB,TBB,209.0427
"Diontae Johnson",WR,PIT,207.969
"Justin Jefferson",WR,MIN,204.5377
"Jalen Reagor",WR,PHI,200.2973
2020.1.12,0,0,196.2929
"Derek Carr",QB,LVR,196.0018
"Deebo Samuel",WR,SFO,194.4825
"Noah Fant",TE,DEN,189.8881
2020.2.01,0,0,180.2975
"Ben Roethlisberger",QB,PIT,178.7162
"Tom Brady",QB,TBB,174.7939
"Sam Darnold",QB,NYJ,174.7015
"Teddy Bridgewater",QB,CAR,173.8276
"James Robinson",RB,JAC,168.7843
"Drew Brees",QB,NOS,168.6512
"Hunter Henry",TE,LAC,166.9425
"Evan Engram",TE,NYG,166.3915
2020.2.02,0,0,165.6054
"DeVante Parker",WR,MIA,165.4027
"David Johnson",RB,HOU,158.7496
"Jarvis Landry",WR,CLE,156.7011
"Tee Higgins",WR,CIN,156.601
2020.2.03,0,0,152.1106
"Le'Veon Bell",RB,FA,149.9561
"Devin Singletary",RB,BUF,142.316
"TJ Hockenson",TE,DET,141.4284
2020.2.04,0,0,139.7155
"Will Fuller",WR,HOU,137.6588
"Henry Ruggs",WR,LVR,137.5425
"Jonnu Smith",TE,TEN,136.8656
"Joshua Kelley",RB,LAC,135.06
"TY Hilton",WR,IND,131.7567
"Laviska Shenault",WR,JAC,131.4422
"Michael Gallup",WR,DAL,129.5792
2020.2.05,0,0,128.3304
"Raheem Mostert",RB,SFO,124.7873
"Darius Slayton",WR,NYG,120.9528
2020.2.06,0,0,117.873
"Tyler Higbee",TE,LAR,116.7355
"Christian Kirk",WR,ARI,114.5855
"N'Keal Harry",WR,NEP,113.5261
"Dallas Goedert",TE,PHI,108.6818
2020.2.07,0,0,108.2678
"Brandon Aiyuk",WR,SFO,102.5451
2020.2.08,0,0,99.4453
"Ronald Jones",RB,TBB,96.452
"Philip Rivers",QB,IND,96.093
"Zack Moss",RB,BUF,95.569
"Bryan Edwards",WR,LVR,93.9534
"Darrell Henderson",RB,LAR,93.0493
2020.2.09,0,0,91.3418
2021.2,0,0,91.3418
"Brandin Cooks",WR,HOU,90.6933
"Nick Foles",QB,CHI,90.0503
"James White",RB,NEP,88.2994
"Michael Pittman",WR,IND,87.0547
2020.2.10,0,0,83.8985
"Andy Dalton",QB,DAL,83.3834
"Mike Gesicki",TE,MIA,82.8651
"Chase Claypool",WR,PIT,82.6178
"Hayden Hurst",TE,ATL,82.2452
"Dwayne Haskins",QB,WAS,82.1919
"Mike Williams",WR,LAC,82.0323
"Mark Ingram",RB,BAL,78.7151
2020.2.11,0,0,77.0618
2022.2,0,0,77.0618
"AJ Green",WR,CIN,75.6977
"Robby Anderson",WR,CAR,74.6378
"Denzel Mims",WR,NYJ,72.6041
2020.2.12,0,0,70.7822
"Mecole Hardman",WR,KCC,70.3299
"AJ Dillon",RB,GBP,70.2847
"Julian Edelman",WR,NEP,70.2192
"Parris Campbell",WR,IND,70.1527
"Phillip Lindsay",RB,DEN,68.9662
"Austin Hooper",TE,CLE,68.3701
2020.3.01,0,0,65.0144
"Mitchell Trubisky",QB,CHI,64.1994
"Preston Williams",WR,MIA,63.8338
"Sterling Shepard",WR,NYG,63.565
"Jamison Crowder",WR,NYJ,63.4293
"Myles Gaskin",RB,MIA,63.1731
"Alexander Mattison",RB,MIN,62.8071
"Robert Tonyan",TE,GBP,62.0128
"Jordan Love",QB,GBP,61.8803
"Chase Edmonds",RB,ARI,60.8843
"Tarik Cohen",RB,CHI,60.6739
"Mo Alie-Cox",TE,IND,59.8359
2020.3.02,0,0,59.7165
"Damien Harris",RB,NEP,59.2798
"Anthony Miller",WR,CHI,58.2688
"Corey Davis",WR,TEN,56.9577
"Jerick McKinnon",RB,SFO,56.3027
"Ryan Fitzpatrick",QB,MIA,55.7303
"Sammy Watkins",WR,KCC,55.4038
2020.3.03,0,0,54.8503
"John Brown",WR,BUF,51.7466
"Marquez Valdes-Scantling",WR,GBP,50.9534
"Marvin Jones",WR,DET,50.5045
2020.3.04,0,0,50.3807
"Nyheim Hines",RB,IND,48.9537
"Kerryon Johnson",RB,DET,48.5246
"Jameis Winston",QB,NOS,46.6735
"Golden Tate",WR,NYG,46.5356
2020.3.05,0,0,46.2753
"Allen Lazard",WR,GBP,46.0311
"Curtis Samuel",WR,CAR,45.5772
"Logan Thomas",TE,WAS,44.5133
"Andy Isabella",WR,ARI,43.6814
"Jared Cook",TE,NOS,43.266
"Russell Gage",WR,ATL,43.1236
"Sony Michel",RB,NEP,43.0707
"Marlon Mack",RB,IND,43.0387
"Kyle Allen",QB,WAS,42.6199
"Jalen Hurts",QB,PHI,42.5341
2020.3.06,0,0,42.5044
"Benny Snell",RB,PIT,42.503
"Latavius Murray",RB,NOS,41.5613
"Devonta Freeman",RB,NYG,41.2479
"Tyrod Taylor",QB,LAC,41.1188
"Boston Scott",RB,PHI,39.4082
"OJ Howard",TE,TBB,39.2473
"Van Jefferson",WR,LAR,39.1726
2020.3.07,0,0,39.0408
"Chris Herndon",TE,NYJ,38.7552
"Tony Pollard",RB,DAL,38.6054
"Scott Miller",WR,TBB,38.4712
"Jarrett Stidham",QB,NEP,37.6729
"KJ Hamler",WR,DEN,37.0448
"Ke'Shawn Vaughn",RB,TBB,36.5145
"Hunter Renfrow",WR,LVR,36.1638
2020.3.08,0,0,35.8595
"Jordan Howard",RB,MIA,35.4362
"Blake Jarwin",TE,DAL,35.2821
"Duke Johnson",RB,HOU,34.7092
"Matt Breida",RB,MIA,34.6596
"Tim Patrick",WR,DEN,34.6545
"Rob Gronkowski",TE,TBB,34.3132
"Miles Boykin",WR,BAL,34.2464
2020.3.09,0,0,32.9374
2021.3,0,0,32.9374
"Irv Smith Jr",TE,MIN,32.7539
"Cole Kmet",TE,CHI,32.6371
"Gerald Everett",TE,LAR,31.8145
