"Player","Pos","Team","Avg","W-1","W-2","W-3","W-4","W-5","W-6","W-7","W-8","W-9","W-10","W-11","W-12","W-13","W-14","W-15","W-16","W-17"
"Keenan Allen","WR","LAC","1.0105","1.045","0.976","","","","","","","","","","","","","","",""
"D.K. Metcalf","WR","SEA","0.992","0.984","1","","","","","","","","","","","","","","",""
"George Kittle","TE","SF","0.984","0.984","","","","","","","","","","","","","","","",""
"Ryan Izzo","TE","NE","0.978","0.984","0.972","","","","","","","","","","","","","","",""
"DeAndre Hopkins","WR","ARI","0.9565","0.939","0.974","","","","","","","","","","","","","","",""
"Evan Engram","TE","NYG","0.955","0.941","0.969","","","","","","","","","","","","","","",""
"Tyler Lockett","WR","SEA","0.9435","0.935","0.952","","","","","","","","","","","","","","",""
"Chris Godwin","WR","TB","0.943","0.943","","","","","","","","","","","","","","","",""
"Michael Gallup","WR","DAL","0.9365","0.958","0.915","","","","","","","","","","","","","","",""
"Terry McLaurin","WR","WAS","0.934","0.929","0.939","","","","","","","","","","","","","","",""
"Amari Cooper","WR","DAL","0.9295","0.944","0.915","","","","","","","","","","","","","","",""
"Adam Thielen","WR","MIN","0.9255","0.962","0.889","","","","","","","","","","","","","","",""
"John Brown","WR","BUF","0.9245","0.931","0.918","","","","","","","","","","","","","","",""
"Travis Kelce","TE","KC","0.9225","0.884","0.961","","","","","","","","","","","","","","",""
"Chris Hogan","WR","NYJ","0.9095","0.911","0.908","","","","","","","","","","","","","","",""
"Darren Waller","TE","LVR","0.907","0.889","0.925","","","","","","","","","","","","","","",""
"Marvin Jones","WR","DET","0.904","0.91","0.898","","","","","","","","","","","","","","",""
"Ezekiel Elliott","RB","DAL","0.901","0.875","0.927","","","","","","","","","","","","","","",""
"Mike Evans","WR","TB","0.899","0.929","0.869","","","","","","","","","","","","","","",""
"Zach Ertz","TE","PHI","0.8985","0.853","0.944","","","","","","","","","","","","","","",""
"JuJu Smith-Schuster","WR","PIT","0.8835","0.859","0.908","","","","","","","","","","","","","","",""
"Mike Williams","WR","LAC","0.879","0.866","0.892","","","","","","","","","","","","","","",""
"D.J. Moore","WR","CAR","0.878","0.866","0.89","","","","","","","","","","","","","","",""
"Tyreek Hill","WR","KC","0.8755","0.855","0.896","","","","","","","","","","","","","","",""
"Austin Hooper","TE","CLE","0.875","0.767","0.983","","","","","","","","","","","","","","",""
"Darius Slayton","WR","NYG","0.8725","0.853","0.892","","","","","","","","","","","","","","",""
"Tyler Higbee","TE","LAR","0.8725","0.89","0.855","","","","","","","","","","","","","","",""
"Steven Sims","WR","WAS","0.869","0.829","0.909","","","","","","","","","","","","","","",""
"Damiere Byrd","WR","NE","0.868","0.875","0.861","","","","","","","","","","","","","","",""
"Hunter Henry","TE","LAC","0.868","0.881","0.855","","","","","","","","","","","","","","",""
"Stefon Diggs","WR","BUF","0.865","0.943","0.787","","","","","","","","","","","","","","",""
"Preston Williams","WR","MIA","0.858","0.903","0.813","","","","","","","","","","","","","","",""
"Jamison Crowder","WR","NYJ","0.857","0.857","","","","","","","","","","","","","","","",""
"Allen Lazard","WR","GB","0.854","0.872","0.836","","","","","","","","","","","","","","",""
"Cooper Kupp","WR","LAR","0.852","0.849","0.855","","","","","","","","","","","","","","",""
"Jordan Akins","TE","HOU","0.852","0.873","0.831","","","","","","","","","","","","","","",""
"Calvin Ridley","WR","ATL","0.8505","0.861","0.84","","","","","","","","","","","","","","",""
"Robert Woods","WR","LAR","0.8455","0.836","0.855","","","","","","","","","","","","","","",""
"Diontae Johnson","WR","PIT","0.845","0.859","0.831","","","","","","","","","","","","","","",""
"Dallas Goedert","TE","PHI","0.8405","0.794","0.887","","","","","","","","","","","","","","",""
"Kendrick Bourne","WR","SF","0.8285","0.919","0.738","","","","","","","","","","","","","","",""
"Tyler Boyd","WR","CIN","0.8285","0.809","0.848","","","","","","","","","","","","","","",""
"Logan Thomas","TE","WAS","0.826","0.743","0.909","","","","","","","","","","","","","","",""
"CeeDee Lamb","WR","DAL","0.824","0.819","0.829","","","","","","","","","","","","","","",""
"N'Keal Harry","WR","NE","0.822","0.797","0.847","","","","","","","","","","","","","","",""
"Corey Davis","WR","TEN","0.8175","0.815","0.82","","","","","","","","","","","","","","",""
"A.J. Brown","WR","TEN","0.815","0.815","","","","","","","","","","","","","","","",""
"Allen Robinson","WR","CHI","0.815","0.815","0.815","","","","","","","","","","","","","","",""
"DJ Chark","WR","JAC","0.8135","0.84","0.787","","","","","","","","","","","","","","",""
"Michael Thomas","WR","NO","0.809","0.809","","","","","","","","","","","","","","","",""
"Christian McCaffrey","RB","CAR","0.807","0.97","0.644","","","","","","","","","","","","","","",""
"Jonnu Smith","TE","TEN","0.8065","0.728","0.885","","","","","","","","","","","","","","",""
"Julio Jones","WR","ATL","0.805","0.823","0.787","","","","","","","","","","","","","","",""
"Larry Fitzgerald","WR","ARI","0.7925","0.793","0.792","","","","","","","","","","","","","","",""
"Robby Anderson","WR","CAR","0.7805","0.821","0.74","","","","","","","","","","","","","","",""
"Miles Sanders","RB","PHI","0.775","","0.775","","","","","","","","","","","","","","",""
"Tre'Quan Smith","WR","NO","0.765","0.647","0.883","","","","","","","","","","","","","","",""
"Russell Gage","WR","ATL","0.7615","0.696","0.827","","","","","","","","","","","","","","",""
"Noah Fant","TE","DEN","0.7605","0.729","0.792","","","","","","","","","","","","","","",""
"Randall Cobb","WR","HOU","0.757","0.836","0.678","","","","","","","","","","","","","","",""
"Tim Patrick","WR","DEN","0.748","0.847","0.649","","","","","","","","","","","","","","",""
"Will Fuller","WR","HOU","0.741","0.855","0.627","","","","","","","","","","","","","","",""
"Derrick Henry","RB","TEN","0.737","0.753","0.721","","","","","","","","","","","","","","",""
"Brandin Cooks","WR","HOU","0.731","0.564","0.898","","","","","","","","","","","","","","",""
"Jack Doyle","TE","IND","0.73","0.73","","","","","","","","","","","","","","","",""
"Rob Gronkowski","TE","TB","0.73","0.771","0.689","","","","","","","","","","","","","","",""
