Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,Snaps/GP,Slot Rate,OPP Share,Weight OPP,Weight OPP/GP,Pass Comp,Comp/GP,Pass ATT,PA/GP,Pass Yards,PY/GP,Pass TDs,TDs/GP,Pass INT,INT/GP,Comp %,Clean Pocket %,Deep Ball Comp %,TD Rate,Pass Yards/TD,TD:INT,Yards/ ATT,AY/A,Attempted Air Yards,ATT Air Yards/GP,Completed Air Yards,Comp Air Yards/GP,aDOT,QB Rating,Total QBR,CPOE,Rush ATT,Rush ATT/GP,Rush Yards,Rush YDs/GP,Rush TDs,Rush TDs/ GP,TD Rate,Rush YDs/TD,YPC,Evaded Tackles,ET/GP,Big Runs,Juke Rate,GL ATT,FUM,REC,REC/GP,Targets,Targets/GP,Target Share,RZ Targets,Catch Rate,Routes,Routes/GP,Yards/ Route,REC Yards,REC YDs/GP,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,REC TDs/GP,TD Rate,REC YDs/TD,YDs/TM Pass ATT,Air Yards,Air Yards/GP,Air Yards MS,WOPR,RACR,YAC,YAC/GP,Touches,Touches/GP,Scrim Yards,Scrim Yards/GP,Scrim TDs,Scrim TDs/GP,SCRIM YDs/ Play,Fantasy Points,Exp Points,FPOE,PPR PPG,PPG Rank,FP/ Touch,PPR Rank
Aaron Jones,GB,RB,2017,6,195,205,217,405,"1,725",230,56.8%,38.3,-,56.7%,104.7,17.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,90,15.0,447,74.5,5,0.83,5.6%,89.4,5.0,16,2.7,3,14.2%,7,0,23,3.8,33,5.5,16.9%,9,70%,86,14.3,2.1,182,30.3,7.9,5.5,3.2,2,0.333,8.7%,91.0,0.89,107,17.8,6.2%,0.30,1.70,127,21.2,113,18.8,629,104.8,7,1.17,1.55,127.9,116.1,11.8,21.3,4,1.1,8
Aaron Rodgers,GB,QB,2005,8,268,280,277,542,"2,269",525,96.9%,65.6,-,-,-,-,189,23.6,280,35.0,2253,281.6,24,3.0,2,0.3,67.5%,74.8%,42.5%,8.6%,93.9,12.0,8.0,9.4,2307,288.4,2307,288.4,8.2,117.5,83.5,5.0,11,1.4,61,7.6,0,0.00,0.0%,-,-,-,-,-,-,-,1,1,0.1,1,0.1,0.4%,-,100%,-,-,-,-6,-0.8,-6.0,-6.0,-4.0,0,0.000,0.0%,-,-0.02,-4,-0.5,-0.2%,0.00,1.50,-2,-,-,-,-,-,-,-,-,186.6,160.8,50.4,23.3,7,-,5
Adam Humphries,TEN,WR,2015,6,197,206,195,412,"1,636",201,48.8%,33.5,73.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.2,0,0.0,0,0.00,0.0%,-,0.0,-,-,-,-,-,0,22,3.7,31,5.2,15.7%,4,71%,135,22.5,1.6,219,36.5,10.0,7.1,9.7,2,0.333,9.1%,109.5,1.06,300,50.0,18.3%,0.36,0.73,42,7.0,23,3.8,219,36.5,2,0.33,0.53,55.9,51.4,4.5,9.3,63,2.4,78
Adam Shaheen,MIA,TE,2017,8,245,249,219,502,"1,901",167,33.3%,20.9,12.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,5,0.6,9,1.1,3.7%,3,56%,25,3.1,2.3,58,7.3,11.6,6.4,3.1,2,0.250,40.0%,29.0,0.23,28,3.5,1.5%,0.07,2.07,38,4.8,5,0.6,58,7.3,2,0.25,0.12,22.8,22.5,0.3,2.9,44,4.6,43
Adam Thielen,MIN,WR,2013,8,202,209,258,490,"1,933",447,91.2%,55.9,17.2%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,3,0.4,15,1.9,0,0.00,0.0%,-,5.0,-,-,-,-,-,0,37,4.6,58,7.3,28.7%,8,64%,203,25.4,2.4,480,60.0,13.0,8.3,13.5,7,0.875,18.9%,68.6,2.30,783,97.9,40.5%,0.71,0.61,78,9.8,40,5.0,495,61.9,7,0.88,1.01,128.5,104.5,26.0,16.1,18,3.2,15
Adrian Peterson,DET,RB,2007,8,279,291,246,540,"2,422",184,34.1%,23.0,-,43.5%,76.2,9.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,93,11.6,350,43.8,2,0.25,2.2%,175.0,3.8,18,2.3,4,17.5%,2,0,10,1.3,14,1.8,5.0%,0,71%,51,6.4,1.4,69,8.6,6.9,4.9,0.7,0,0.000,0.0%,-,0.24,10,1.3,0.4%,0.08,6.90,47,5.9,103,12.9,419,52.4,2,0.25,0.78,63.9,73.5,-9.6,8.0,53,0.6,41
AJ Brown,TEN,WR,2019,6,189,194,186,396,"1,478",333,84.1%,55.5,12.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,31,5.2,48,8.0,25.4%,8,65%,161,26.8,2.8,455,75.8,14.7,9.5,9.7,6,1.000,19.4%,75.8,2.35,467,77.8,31.6%,0.60,0.97,166,27.7,31,5.2,455,75.8,6,1.00,1.15,112.5,80.6,31.9,18.8,6,3.6,25
AJ Dillon,GB,RB,2020,6,208,217,207,414,"1,757",49,11.8%,8.2,-,11.6%,14.9,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,23,3.8,97,16.2,0,0.00,0.00%,-,4.2,4,0.7,1,16.7%,0,0,1,0.2,1,0.2,0.5%,0,100%,15,2.5,1.1,16,2.7,16.0,16.0,1.0,0,0.000,0.0%,-,0.07,1,0.2,0.1%,0.01,16.00,15,2.5,24,4.0,113,18.8,0,0.00,0.27,12.3,12.1,0.2,2.1,96,0.5,92
AJ Green,CIN,WR,2011,8,321,331,239,595,"2,688",423,71.1%,52.9,16.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,31,3.9,63,7.9,19.6%,3,49%,275,34.4,1.1,316,39.5,10.2,5.0,13.4,0,0.000,0.0%,-,0.95,845,105.6,31.4%,0.51,0.37,64,8.0,31,3.9,316,39.5,0,0.00,0.53,62.6,100.3,-37.7,7.8,83,2.0,71
Alex Smith,WAS,QB,2005,2,67,69,51,108,286,73,67.6%,36.5,-,-,-,-,33,16.5,49,24.5,362,181.0,1,0.5,3,1.5,67.3%,-,-,2.0%,362.0,0.3,7.4,5.0,204,102.0,204,102.0,4.2,70.3,-,-5.7,1,0.5,1,0.5,0,0.00,0.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,12.6,18.9,-2.7,6.3,42,-,43
