Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,1,31,35,25,63,298,36,57.1%,60.0%,13.8,0,0,0,0,0,-,-,-,-,-,-,-,-,-,10,15,1,10.00%,1.5,0,0,0.00%,0,0,3,5,16.10%,0,60%,0,-,26,8.7,5.2,3.6,0,0.00%,0.74,18,6.00%,0.28,1.44,29,13,41,1,0.65,13.1,-1.3,15
Aaron Rodgers,GB,QB,2005,1,31,35,25,63,298,60,95.2%,-,-,16,35,160,0,2,45.70%,0.00%,4.6,2.0,298,102,8.5,35.4,-8.40,2,14,0,0.00%,7.0,-,-,-,-,0,0,0,0.00%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,2,14,0,0.22,3.8,-11.0,27
Adam Humphries,TEN,WR,2015,1,41,41,36,75,307,41,54.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,6,6,14.60%,0,100%,0,-,64,10.7,10.7,9.2,1,16.70%,1.56,55,17.90%,0.34,1.16,9,6,64,1,0.85,18.4,8.6,11
Adam Thielen,MIN,WR,2013,1,35,36,18,56,326,52,92.9%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,5,14.30%,0,60%,0,-,51,17.0,10.2,14.2,1,33.30%,1.42,71,21.80%,0.37,0.72,14,3,51,1,0.91,14.1,4.1,22
Adrian Peterson,DET,RB,2007,1,31,31,43,77,269,27,35.1%,37.2%,10.3,0,0,0,0,0,-,-,-,-,-,-,-,-,-,15,40,1,6.70%,2.7,0,0,0.00%,0,0,1,1,3.20%,0,100%,0,-,18,18.0,18.0,9.0,0,0.00%,0.58,9,3.30%,0.07,2.00,9,16,58,1,0.75,12.8,1.1,16
AJ Brown,TEN,WR,2019,1,41,41,36,75,307,63,84.0%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,5,7,17.10%,0,71%,0,-,56,11.2,8.0,13.0,2,40.00%,1.37,91,29.60%,0.46,0.62,14,5,56,2,0.75,22.6,8.8,4
AJ Dillon,GB,RB,2020,1,31,35,25,63,298,10,15.9%,20.0%,2.9,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,31,0,0.00%,6.2,0,0,0.00%,0,0,0,0,0.00%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.00%,0.00,-,0,5,31,0,0.49,3.1,0.8,49
AJ Green,CIN,WR,2011,1,39,39,35,73,344,58,79.5%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,8,11,28.20%,0,73%,0,-,96,12.0,8.7,12.5,0,0.00%,2.46,138,40.10%,0.70,0.70,23,8,96,0,1.32,17.6,1.3,14
Alex Smith,WAS,QB,2005,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,0,0,0,-,0.0,0.0,-
Alexander Mattison,MIN,RB,2019,1,35,36,18,56,326,27,48.2%,66.7%,9.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,10,26,0,0.00%,2.6,0,0,0.00%,0,0,1,2,5.70%,0,50%,0,-,4,4.0,2.0,13.0,0,0.00%,0.11,26,8.00%,0.14,0.15,3,11,30,0,0.54,4.0,-7.0,43
